key,secs,best_iter,dev_ic,promo_ic,dev_sharpe,promo_sharpe
68,294.2,22,0.07130274051086843,0.07002516544446685,7.343739630201389,7.228129932820597
69,280.4,37,0.0721201383879643,0.07159785081559565,7.001380259035867,6.284215256903261
70,228.8,18,0.0698376019790626,0.06889577193986708,6.464904955785259,6.198087594963237
71,251.9,16,0.06845058662061373,0.06557285030159489,7.189442028064885,5.274426999239626
72,212.9,18,0.0703687683093569,0.06961982746548658,6.228186511786276,6.074112036212374
73,275.1,33,0.07327467296821304,0.06954543500147949,7.296868844875216,6.283635022256532
74,318.7,26,0.07238801867943696,0.07120225976947746,6.973381936825576,6.3793343477937805
75,266.0,59,0.07510252444843757,0.07409279886917097,7.191835728939305,6.348072115144354
76,325.9,27,0.06704539373363656,0.07143837147559756,7.068344512622305,6.086547794323652
77,372.9,32,0.07043347212438407,0.07621944851335463,7.4777691027768025,7.153312128006632
78,244.1,30,0.07036716306579716,0.07500428836628724,7.0354699953679525,6.605450794091371
79,224.7,16,0.07269300333831473,0.07062268045587645,6.366265224128877,6.075624446694714
80,265.6,24,0.07269752354519768,0.07119562891301827,7.1783830664135575,6.678890303565089
81,239.3,22,0.06974077208741783,0.06529074681443219,7.060457364390684,5.794620288215894
82,358.3,58,0.07123281857428665,0.07304649369691946,6.6339698106612,6.659965571650177
83,226.6,11,0.06476065924237792,0.07201297043964033,6.33084316096563,6.283459693508948
84,253.6,26,0.07172360360962032,0.07542207777461049,6.708256760726106,6.6029506222116074
85,229.3,19,0.07096154998235357,0.06901519880238839,6.328350409038071,5.600584263191633
86,256.4,8,0.07012666225726769,0.06721815040131575,5.652154387133268,6.748705912820023
87,182.6,17,0.07258905997182258,0.07258891229666325,6.499684804630387,5.674226612091856
88,258.0,30,0.07063447916080483,0.06663539056507192,7.112999653738537,5.4223143051538445
89,266.8,18,0.07047075090031488,0.06586941762504764,6.668685109766669,6.378532571650981
90,232.6,20,0.07049806355272437,0.0737905848610114,6.9132758336576385,6.165752542291502
91,235.3,28,0.07467910850247725,0.0689293250277909,7.226390210446345,5.373347959686393
92,280.4,23,0.07216281287024244,0.07695680791306897,7.061878071930913,7.817962968893401
93,241.4,30,0.07470652430484437,0.07393535511435877,7.2542157884195,6.3661826011207845
94,281.8,37,0.07192625365840384,0.07312204136207587,6.775420496211947,6.509624066911923
95,306.3,54,0.07502004967409719,0.07597055612997335,7.357955537972319,7.211888543299159
96,263.4,10,0.06477989379107153,0.06741334478309156,6.736224393095118,6.116743540370749
97,288.7,25,0.07053074914855244,0.07142603079166063,6.880786271684959,6.706787370920045
98,240.9,11,0.06765200827295656,0.0654870573619962,6.83798373954751,6.133355150258868
99,286.4,33,0.07289857119292846,0.07279467190388758,7.186392887510963,5.995384628340411
100,253.2,11,0.07039990914740492,0.06687394840462658,6.871723966488615,5.360723229204714
101,290.4,36,0.06757693989155104,0.07466959038632211,7.167828532870891,6.666409694521247
102,301.3,12,0.0690077446812235,0.06722536560775018,6.262777933385833,5.765692717126609
103,274.4,21,0.06718669287625499,0.07200515139513236,7.489826559299618,7.864981740106275
104,211.8,28,0.07019309726014791,0.07215581614036451,7.204706836901577,6.21317578577883
105,234.5,15,0.06831434393879249,0.06666390299199537,7.091651915603521,6.162882647471304
106,282.1,10,0.06891037399444579,0.06939479055624727,7.5136971761399245,6.805031522051907
107,217.9,29,0.06688025606909605,0.07021718275347044,6.217420012588939,6.285390754943287
108,283.5,40,0.07196776889341432,0.07133353456795535,6.569048160187622,6.436719749136312
109,272.0,14,0.06809919872205988,0.06588191885912496,6.864785488633214,5.789221096117447
110,349.4,18,0.07117885236799418,0.07140468278219536,7.320314562222481,6.491600333414414
111,239.2,22,0.0695685126823255,0.07449888002067072,6.84101083708328,6.355009855759701
112,334.2,14,0.06711760485912317,0.06832708638226526,6.492808244825012,6.461688027751281
113,257.5,16,0.06834027528511288,0.07324128788385609,6.761417118986103,5.655503241219768
114,231.5,21,0.06889850160109312,0.07062453392498542,6.943842340242409,6.13961091644217
115,397.9,16,0.06877839499914103,0.07005336588764531,7.189284918674839,6.555847130337726
116,358.1,16,0.06961199457050352,0.0714911587433221,7.215864755757745,6.501084184636917
117,305.0,14,0.06774184770981125,0.07012729040013231,6.200111951427122,5.892956770089193
118,305.0,14,0.07125257128943929,0.06939953253454775,7.055039015530955,6.057957785490287
119,353.3,17,0.07345703767325154,0.0701728473093803,7.153589679221844,6.596561397102622
120,339.3,16,0.07136216849514934,0.07151426657065064,7.155052244843134,5.925890077864419
121,298.8,19,0.07004871905545508,0.07360332772440602,7.207814885778913,6.716653309048413
122,259.0,33,0.07061445758919714,0.07201162670415014,7.30181373170779,7.311810577713172
123,301.5,26,0.06887298325849672,0.07441386954116233,6.53357718768859,6.392078687916546
124,289.1,23,0.0704652016419504,0.07012029337335171,6.795537705589415,5.703903988275504
125,287.1,28,0.07256783848554788,0.0725882492241739,6.870403678432162,7.117747870136763
126,288.4,23,0.06983080614871005,0.06893404491138015,6.535043361642374,5.617650941035982
127,275.3,29,0.07143769023046335,0.07556226417094115,7.023520074648997,6.350589295751188
