cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
50,47,0,483.9,0.15480501623239168,260,8,0.8183226516323603,0.8644010941005987,208.48558418011694,952.7447471336869,11,1,692889,0.07663669662622223,0.07366392223093851
51,18,0,322.6,0.19668936375810608,147,8,0.7095737036187308,0.8462362883613745,208.73306529070635,674.1787427508754,25,1,916545,0.07151224809127965,0.07008192960010581
52,38,0,450.1,0.19846820991853575,210,8,0.8832355612597104,0.8744803479932226,217.06148950264588,609.7245773370772,15,1,78764,0.07336852557540255,0.0775964662235097
53,17,0,367.1,0.184016123123486,269,9,0.8918008568953596,0.8444003110211705,217.57238302626587,389.8177155874337,27,1,107121,0.06793208282642786,0.0649157974934398
54,39,0,455.8,0.18889351626152798,248,7,0.9343443423096349,0.8697900210117004,223.00635168338772,794.1652406499519,21,1,395442,0.07381208148028506,0.07668155863351667
55,21,0,497.2,0.1831996035170024,155,8,0.9028205297221582,0.9471626823724225,247.4239391267705,354.0345422137991,26,1,609795,0.0731509816145928,0.0729475803442054
56,51,0,440.8,0.16965080378132397,234,6,0.9032610924147448,0.8832918679992497,209.6749998981875,716.3132363477334,10,1,4044,0.07533801077394871,0.07586184222054786
57,9,0,496.8,0.23827730226698518,255,10,0.9440860036670373,0.9694427720832491,159.382699483011,819.4794017855177,13,1,189386,0.06911030603367221,0.06508212420459014
58,12,0,303.5,0.27022695124559615,143,9,0.850995406712681,0.8878149258943288,252.2561102942858,570.2983827018452,20,1,647765,0.06725625937465479,0.06239504009478303
59,45,0,587.5,0.14936599179941246,217,7,0.7790886653706726,0.9379063747257806,167.8276501912137,657.1343767117534,30,1,276994,0.06998833482280928,0.07414927059198848
60,7,0,350.3,0.2953936411638388,172,10,0.7688084117533759,0.8576053185276215,156.85901520449147,714.4325497724462,15,1,481343,0.060450353132888976,0.061933752812651066
61,18,0,539.9,0.1492329383413646,194,10,0.9386858326093597,0.8744685267794012,152.1090548309681,504.43781771777043,7,1,651175,0.06865521573715445,0.07245895756932852
62,47,0,492.7,0.1721898221971385,178,8,0.8863535745930163,0.8888259735931454,203.7690517772985,766.4836042519426,15,1,926064,0.07247611768769555,0.0739491244616393
63,57,0,425.9,0.19461697735349248,160,7,0.8634731062931355,0.843455699523911,276.60722507419086,616.3326474674973,21,1,365222,0.0715414150117638,0.07290756000815017
64,35,0,477.6,0.2116913827173774,192,9,0.8884650039639274,0.9035534078801213,231.0034072202755,629.8894206440857,19,1,174977,0.0700378744370485,0.07513330417631524
65,17,0,256.5,0.26374109030875437,209,6,0.9188008271133139,0.8112440501880491,236.07256161359572,653.2253047384052,22,1,358132,0.07004287433182652,0.0734451000429964
66,47,0,549.1,0.1880145180277832,168,8,0.9780270459890078,0.890763900039611,244.441092730922,585.2827712553577,9,1,784191,0.0692836711079004,0.07520530453186076
67,9,0,542.9,0.30700459955453674,267,10,0.907196825415482,0.9490667393232212,169.56519504129508,676.4582399908783,30,1,466796,0.06859112542126425,0.06773141339637583
68,22,0,355.6,0.1874096576718283,202,7,1.0,0.8538377677142298,206.14022083765087,556.9110985363112,25,1,417467,0.07107458700423289,0.06989902823342074
69,12,0,384.8,0.2014740057505131,258,8,0.9355929434712097,1.0,84.82540467902417,705.4760806138023,15,1,226415,0.0670254684275017,0.07441842921417086
70,20,0,267.1,0.21814218993900855,205,6,0.8422254145400667,0.8463829533890224,193.44808186989314,834.8627947933137,21,1,169975,0.0706896128006342,0.07085237189486233
71,11,0,433.3,0.23086870925576247,212,8,0.9231185732389684,0.8723303514216978,117.1303258559456,419.00241949622847,23,1,683891,0.06591332877996928,0.0687955063816544
72,15,0,412.4,0.19233102953420733,192,10,0.9349477934753113,0.8569048223318135,204.27872770451646,428.8587463639836,8,1,915619,0.06813098653271166,0.06491584754474146
73,15,0,317.3,0.32830672298043906,207,10,0.7736772564559591,0.9513594440986071,267.0480536658456,639.1574054400814,24,1,553343,0.0646905425925756,0.07068623733550203
74,22,0,455.1,0.21978361828938595,125,10,0.9183007261832112,0.84102522478436,188.5122643864033,366.94838677322167,31,1,176388,0.06967346078430191,0.07507555815109727
75,16,0,347.0,0.18830532169756536,224,7,0.9371222022586194,0.9829573918514496,193.6722733860334,1003.5554748693819,24,1,487589,0.07124055372358282,0.06990055232084769
76,38,0,593.8,0.16881451507676562,258,10,0.8300619136337641,0.8877058381164036,271.8573177546441,530.5470047196579,25,1,818063,0.07258179394524454,0.07090634850945722
77,63,0,547.7,0.1554855774181987,205,6,0.9080253528228333,0.8749966461917381,257.890440411713,428.16838775271566,36,1,726307,0.07349440041424021,0.07656084553648057
78,25,0,370.8,0.20991559908771104,267,9,0.861559804639522,0.8058549576816365,208.46310136531432,293.53469976931746,21,1,457074,0.0710407814875346,0.07201674272005033
79,59,0,553.8,0.13657279914278386,148,8,0.9086487533413614,0.8557978160089087,237.20232342934287,506.03676557227556,21,1,410602,0.07634921282161329,0.07306350866864024
80,27,0,390.7,0.15459831282917338,266,8,0.9843442343290005,0.8189544119503781,232.07084806956794,541.2835980387009,24,1,505220,0.06873666396231787,0.07275943277702754
81,9,0,492.3,0.21757156833397465,235,10,1.0,0.8987787727444181,155.66937036635744,646.2277966562191,13,1,965535,0.06624437436705322,0.05938341330582483
82,15,0,325.8,0.25548393007072717,210,9,0.8997792064533507,0.8838771542667742,286.63873648917735,701.8470878348556,10,1,924723,0.0686475671597661,0.06748311792024084
83,11,0,487.5,0.2642763868775314,252,10,0.9562815135298538,0.9319119397518877,146.20225061695783,450.18038270369277,16,1,912550,0.07080326992851846,0.07161717374692267
84,36,0,334.6,0.17071631140114393,197,9,0.8369056888284713,0.8314701516086991,325.9828436672289,625.8168157586858,16,1,445507,0.07049713434004536,0.074480073156657
85,15,0,286.8,0.260924903465574,210,8,0.8630337847890251,0.7772316191894593,263.5535785257338,763.0040458214679,28,1,453164,0.07306049677119007,0.07068664810764398
86,24,0,449.4,0.2116406534270058,239,8,0.8638078567452253,0.8067431647437056,188.76291497866453,835.1225027062975,28,1,751130,0.07139922223859922,0.06688488109655531
87,19,0,372.3,0.1926085758324909,241,8,0.8532106900427106,0.8782511439635622,169.4444215543123,450.7891684860688,21,1,573905,0.06871173870988292,0.0667591775484907
88,39,0,424.5,0.1498311497697448,266,8,0.8943914838329751,0.8857753936730833,263.17918851171777,626.2217394363281,13,1,86034,0.07235578534883089,0.07310036566791836
89,44,0,436.3,0.16658311133714246,267,8,0.8243514090866133,0.8569226765497442,236.73371995959624,463.7819478220911,24,1,376031,0.07407796509672059,0.07396131894883917
90,16,0,300.8,0.21387390183591895,267,7,0.84485416781374,0.9060505446517269,155.58923149317,583.0497732221309,21,1,642848,0.06683627843943803,0.07134988820605115
91,14,0,401.4,0.22367152600722978,187,10,0.8952639284460063,0.8687455368024507,178.52247964144183,523.5438753958609,17,1,714319,0.06617902166573002,0.06849389516587753
92,31,0,485.3,0.2435791544730951,191,8,0.9545526590560901,0.9551018122364017,210.79175020378196,483.3306958869454,12,1,636259,0.06973818611956277,0.07419489462252556
93,22,0,352.5,0.271182192918968,242,7,0.9710935346448095,0.8538955987879323,232.9788034245095,575.1795382512589,13,1,628701,0.07054119873851387,0.07488032243063902
94,21,0,345.6,0.18996719080664648,245,7,0.8302577541598751,0.8596203791169823,122.0554906314476,519.8182201244704,11,1,852150,0.07081879762612858,0.07092706537443268
95,22,0,343.6,0.24277037117188752,259,7,0.8738298375773744,0.8737715025954191,245.45683069559752,540.548524295227,25,1,232773,0.0700843083367154,0.07158027513733572
96,24,0,371.3,0.17298104591380228,176,8,0.798735432614921,0.7527146309678249,125.4416160218978,379.85741625627395,24,1,3529,0.0722151190834609,0.0733425214993379
97,12,0,339.3,0.20980721085187423,190,9,0.8782150710166167,0.8858725002859625,244.097667409617,432.99805843140985,15,1,736177,0.07124863349198712,0.06577444183659899
98,16,0,387.5,0.2664901192064621,206,9,0.8446898931755271,0.8650684495355601,166.16954278621907,707.9713246572079,34,1,721333,0.06574033523606342,0.06843428258234437
99,12,0,372.8,0.20068037920700577,262,8,0.9865928414128718,0.8709867301239076,194.43050486348733,650.9429124019391,24,1,558160,0.06690423045005488,0.0628067663377832
100,31,0,298.5,0.23178257672466965,194,9,0.8548318977987982,0.8210488920571392,375.5867560734945,448.29049260411495,20,1,664619,0.06861866069249917,0.06935746202594767
